timestamp,value
2025-09-11 00:00:00,94.57
2025-09-11 00:15:00,93.87
2025-09-11 00:30:00,93.87
2025-09-11 00:45:00,93.21
2025-09-11 01:00:00,96.05
2025-09-11 01:15:00,91.95
2025-09-11 01:30:00,91.95
2025-09-11 01:45:00,90.32
2025-09-11 02:00:00,89.69
2025-09-11 02:15:00,90.76
2025-09-11 02:30:00,90.76
2025-09-11 02:45:00,88.81
2025-09-11 03:00:00,88.44
2025-09-11 03:15:00,91.51
2025-09-11 03:30:00,91.51
2025-09-11 03:45:00,93.64999999999999
2025-09-11 04:00:00,92.72
2025-09-11 04:15:00,95.78999999999999
2025-09-11 04:30:00,93.87
2025-09-11 04:45:00,98.61
2025-09-11 05:00:00,101.6
2025-09-11 05:15:00,96.72999999999999
2025-09-11 05:30:00,87.34
2025-09-11 05:45:00,77.53
2025-09-11 06:00:00,79.12
2025-09-11 06:15:00,76.27
2025-09-11 06:30:00,65.0
2025-09-11 06:45:00,60.55
2025-09-11 07:00:00,66.34
2025-09-11 07:15:00,61.89
2025-09-11 07:30:00,58.99
2025-09-11 07:45:00,65.79
2025-09-11 08:00:00,64.78
2025-09-11 08:15:00,74.93
2025-09-11 08:30:00,68.25
2025-09-11 08:45:00,90.62
2025-09-11 09:00:00,84.13
2025-09-11 09:15:00,89.91
2025-09-11 09:30:00,81.0
2025-09-11 09:45:00,87.74
2025-09-11 10:00:00,94.53999999999999
2025-09-11 10:15:00,90.96000000000001
2025-09-11 10:30:00,89.92
2025-09-11 10:45:00,96.79
2025-09-11 11:00:00,92.76
2025-09-11 11:15:00,93.25
2025-09-11 11:30:00,81.08
2025-09-11 11:45:00,96.72999999999999
2025-09-11 12:00:00,91.94
2025-09-11 12:15:00,91.94
2025-09-11 12:30:00,83.28999999999999
2025-09-11 12:45:00,78.06
2025-09-11 13:00:00,84.0
2025-09-11 13:15:00,90.7
2025-09-11 13:30:00,84.18
2025-09-11 13:45:00,86.44
2025-09-11 14:00:00,95.08
2025-09-11 14:15:00,123.42
2025-09-11 14:30:00,136.22
2025-09-11 14:45:00,139.06
2025-09-11 15:00:00,145.91
2025-09-11 15:15:00,153.42
2025-09-11 15:30:00,144.47
2025-09-11 15:45:00,145.47
2025-09-11 16:00:00,142.07
2025-09-11 16:15:00,149.68
2025-09-11 16:30:00,148.91
2025-09-11 16:45:00,157.94
2025-09-11 17:00:00,157.94
2025-09-11 17:15:00,148.94
2025-09-11 17:30:00,149.16
2025-09-11 17:45:00,140.06
2025-09-11 18:00:00,140.06
2025-09-11 18:15:00,129.37
2025-09-11 18:30:00,134.12
2025-09-11 18:45:00,128.57
2025-09-11 19:00:00,128.57
2025-09-11 19:30:00,129.44
2025-09-11 19:45:00,123.87
2025-09-11 20:00:00,123.87
2025-09-11 20:15:00,120.28
2025-09-11 20:30:00,120.13
2025-09-11 20:45:00,121.08
2025-09-11 21:00:00,121.08
2025-09-11 21:15:00,118.58
2025-09-11 21:30:00,113.35
2025-09-11 21:45:00,112.66
2025-09-11 22:00:00,112.66
2025-09-11 22:15:00,106.92
2025-09-11 22:30:00,106.2
2025-09-11 22:45:00,102.49
2025-09-11 23:00:00,102.49
2025-09-11 23:15:00,99.24
2025-09-11 23:30:00,100.19
2025-09-11 23:45:00,97.82
